,Current Status,Gender,Education,Occupation,Account type,Have minimum balance?,Have multiple accounts?,Own an active loan?,Use internet or mobile banking?,Has an active credit Card?,Ever defaulted on a loan?,Satisfied with bank service?,Any transaction in the past 24 months,Age,Opening balance,Current balance,Dist of residence from the bank,Quarterly activity rate,Months since last transaction
46,Dormant,Female,Graduate,Business,Savings,No,No,No,No,No,Yes,No,No,45,5947,1500.0,10.0,2.0,5.4478
47,Active,Male,Post Graduate,Business,Current,No,No,Yes,Yes,Yes,No,No,Yes,26,5947,27239.0,20.0,20.0,1.0
48,Active,Female,12th,Student,Savings,No,No,No,No,No,No,Yes,Yes,20,1500,27239.0,23.7912,15.0,1.0
49,Inactive,Female,Post Graduate,Salaried,Savings,Yes,No,No,Yes,No,Yes,Need Improvement,Yes,25,5947,27239.0,5.0,0.1,5.4478
50,Dormant,Male,Doctrate,Other,Savings,No,Yes,No,No,No,No,No,No,26,5947,2500.0,23.7912,2.0,5.4478
51,Active,Male,10th,Other,Pension,No,No,No,No,No,No,Yes,Yes,54,5947,25000.0,8.0,12.0,1.0
52,Active,Male,Post Graduate,Business,Current,No,No,Yes,Yes,Yes,Yes,Need Improvement,Yes,25,5947,27239.0,6.0,41.1346,1.0
53,Dormant,Female,10th,Other,No Frill ACcount,No,No,No,No,No,No,No,No,54,500,200.0,10.0,2.0,5.4478
54,Active,Female,Doctrate,Salaried,Savings,No,Yes,Yes,Yes,No,No,Yes,Yes,48,5000,12500.0,5.0,12.0,1.0
55,Active,Female,Post Graduate,Salaried,Savings,No,Yes,Yes,Yes,Yes,No,Yes,Yes,48,5947,27239.0,2.0,12.0,1.0
56,Active,Female,Graduate,Business,Current,No,No,No,Yes,No,No,Yes,Yes,26,2500,27239.0,5.0,41.1346,1.0
57,Active,Female,12th,Salaried,Savings,No,No,Yes,Yes,Yes,No,No,Yes,32,2000,25000.0,2.0,15.0,1.0
58,Active,Male,12th,Other,Savings,Yes,No,No,No,No,Yes,Yes,Yes,26,5947,27239.0,5.0,12.0,1.0
59,Dormant,Male,Graduate,Salaried,Other,No,Yes,No,No,No,No,Yes,No,22,5947,0.0,5.0,2.0,5.4478
60,Dormant,Female,Graduate,Salaried,Savings,Yes,No,No,No,No,No,No,No,35,1500,165.0,2.0,2.0,5.4478
61,Active,Female,12th,Other,Senior Citizen Account,No,No,No,No,No,No,Yes,Yes,54,5947,25000.0,5.0,12.0,1.0
62,Active,Female,Post Graduate,Business,Savings,Yes,No,Yes,Yes,No,No,No,Yes,30,1000,27239.0,5.0,12.0,1.0
63,Inactive,Male,12th,Student,Savings,No,No,No,No,No,No,No,No,24,1000,500.0,2.0,0.0,5.4478
64,Active,Female,10th,Other,Senior Citizen Account,No,No,No,No,No,No,Yes,Yes,54,5000,15000.0,6.0,12.0,1.0
65,Active,Male,Doctrate,Other,Senior Citizen Account,No,No,No,No,No,No,Need Improvement,Yes,54,5947,27239.0,5.0,12.0,1.0
66,Active,Male,10th,Student,Savings,Yes,No,No,Yes,No,No,No,Yes,18,1000,12000.0,4.0,12.0,1.0
67,Active,Male,Graduate,Salaried,Savings,No,Yes,Yes,Yes,No,No,Yes,Yes,24,1500,3500.0,5.0,41.1346,1.0
68,Active,Male,12th,Business,Current,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,26,5947,27239.0,6.0,41.1346,1.0
69,Active,Male,Post Graduate,Salaried,Salaried,No,Yes,Yes,No,No,No,Need Improvement,Yes,45,0,27239.0,6.0,15.0,1.0
70,Dormant,Male,Graduate,Salaried,Savings,No,No,No,No,No,No,No,No,26,1500,250.0,23.7912,0.0,5.4478
71,Active,Male,12th,Student,Savings,No,Yes,No,Yes,No,No,Yes,Yes,24,1000,5000.0,23.7912,3.0,1.0
72,Inactive,Male,10th,Other,No Frill ACcount,Yes,No,Yes,Yes,Yes,Yes,Need Improvement,Yes,35,0,27239.0,2.0,6.0,5.4478
73,Active,Male,Graduate,Salaried,Salaried,Yes,No,Yes,Yes,No,No,Need Improvement,Yes,25,500,6000.0,5.0,5.0,1.0
74,Dormant,Male,Graduate,Business,Savings,Yes,Yes,No,No,No,No,Need Improvement,No,29,700,1000.0,15.0,2.0,5.4478
75,Active,Female,Graduate,Student,Savings,Yes,Yes,No,Yes,Yes,No,Need Improvement,Yes,21,1000,15000.0,1.0,10.0,1.0
76,Active,Male,Graduate,Student,Savings,Yes,No,No,No,No,No,Yes,No,21,1000,468.0,3.0,21.0,1.0
77,Dormant,Male,12th,Other,Savings,No,No,No,No,No,No,No,No,35,500,0.0,2.0,0.0,5.4478
78,Dormant,Male,10th,Business,Savings,No,Yes,Yes,No,No,Yes,No,No,40,500,200.0,5.0,5.0,5.4478
79,Dormant,Male,Post Graduate,Salaried,Savings,Yes,Yes,No,Yes,No,No,Yes,No,38,500,1200.0,23.7912,2.0,5.4478
80,Dormant,Male,Post Graduate,Salaried,Savings,Yes,Yes,No,Yes,No,No,Need Improvement,No,38,500,1200.0,23.7912,10.0,5.4478
81,Dormant,Female,12th,Student,Savings,Yes,Yes,Yes,Yes,Yes,Yes,No,No,21,1000,25009.0,6.0,0.0,5.4478
82,Active,Male,Graduate,Salaried,Salaried,No,No,Yes,Yes,Yes,Yes,Yes,Yes,38,5947,27239.0,15.0,12.0,1.0
83,Active,Male,Post Graduate,Business,Savings,Yes,No,No,Yes,No,No,No,Yes,54,1000,2000.0,3.0,12.0,1.0
84,Dormant,Female,12th,Student,Other,Yes,No,No,No,No,No,No,Yes,18,500,900.0,23.7912,0.0,5.4478
85,Dormant,Male,Graduate,Other,Savings,No,Yes,No,No,No,No,Yes,No,54,500,250.0,23.7912,7.0,5.4478
86,Dormant,Female,Graduate,Not working,Savings,Yes,Yes,No,No,No,No,Yes,No,35,500,1300.0,23.7912,10.0,5.4478
87,Dormant,Female,Graduate,Salaried,Salaried,No,Yes,No,No,No,Yes,No,No,36,1000,115.0,2.0,17.0,5.4478
88,Dormant,Female,10th,Other,Current,No,Yes,No,No,No,No,No,No,54,0,-72.0,23.7912,10.0,5.4478
89,Active,Male,Graduate,Student,Savings,Yes,No,No,Yes,No,No,Yes,Yes,26,5000,2000.0,5.0,4.0,1.0
90,Active,Male,Graduate,Student,Savings,Yes,No,No,Yes,No,No,Need Improvement,Yes,26,5947,5000.0,1.0,5.0,3.0
91,Active,Male,Graduate,Student,Savings,Yes,No,No,Yes,No,No,Yes,Yes,26,3000,1000.0,2.0,5.0,3.0
92,Active,Male,Graduate,Student,Savings,Yes,No,No,Yes,No,No,Yes,Yes,26,1000,5000.0,5.0,0.0,1.0
93,Active,Male,Graduate,Student,Savings,Yes,No,No,Yes,No,No,Yes,No,26,1000,1000.0,3.0,5.0,1.0
94,Dormant,Male,Graduate,Student,Savings,Yes,Yes,No,Yes,No,No,Yes,Yes,26,5000,250.0,4.0,5.0,1.0
95,Active,Male,Graduate,Student,Savings,Yes,No,No,Yes,No,No,Need Improvement,Yes,27,2000,1000.0,3.0,0.0,2.0
96,Active,Female,12th,Student,Savings,Yes,Yes,Yes,Yes,No,No,No,Yes,18,0,0.0,6.0,0.0,-3.0
97,Dormant,Female,12th,Student,Other,No,No,No,No,No,No,No,No,21,500,500.0,5.5,2.0,5.4478
